rowid,permanent_identifier,comid,resolution,gnis_id,gnis_name,area_sq_km,reachcode,ftype,fcode,vpuid,data_group,dist_m,location_type,Station,Description,Channel,Slope,notes,dist_to_shore,Latitude,Longitude
428,128076022,23001900241688,2,NA,NA,0.023,10190007014232,390,39004,1019,CLP,65.49668571495776,poi_center,NA,NA,NA,NA,NA,NA,40.61366337897385,-105.08930423233443
429,128076036,23001900241689,2,NA,NA,0.10400000000000001,10190007002420,390,39004,1019,CLP,137.94422735174282,poi_center,NA,NA,NA,NA,NA,NA,40.60935308169226,-105.10284746419687
430,128076114,23001900241692,2,NA,NA,0.019,10190007002440,390,39001,1019,CLP,65.70519256264218,poi_center,NA,NA,NA,NA,NA,NA,40.59764352957457,-104.9736817228637
431,128076273,23001900241694,2,NA,NA,0.025,10190007002484,390,39001,1019,CLP,56.40679416594224,poi_center,NA,NA,NA,NA,NA,NA,40.571593926953504,-104.78347511598872
432,128076511,23001900241695,2,00177730,Nelson Reservoir,0.161,10190007002574,390,39004,1019,CLP,150.58063543354393,poi_center,NA,NA,NA,NA,NA,NA,40.46889225878364,-105.01543888929041
433,128076589,23001900241696,2,NA,NA,0.056,10190007002606,390,39004,1019,CLP,97.22764807356936,poi_center,NA,NA,NA,NA,NA,NA,40.42348405061259,-104.67434073876348
434,128075402,23001900246323,2,NA,NA,0.03,10190007002631,390,39001,1019,CLP,72.15867982562723,poi_center,NA,NA,NA,NA,NA,NA,40.80508857630336,-105.25007639495246
435,128076160,23001900236207,2,00180509,Baker Lake,0.075,10190007002453,390,39004,1019,CLP,101.235202250582,poi_center,NA,NA,NA,NA,NA,NA,40.58461033322961,-104.98339735408146
436,128075898,23001900236630,2,00177230,Bartel Reservoir,0.082,10190007002383,390,39001,1019,CLP,126.133140223849,poi_center,NA,NA,NA,NA,NA,NA,40.64661225580993,-105.01850188045657
437,128076245,23001900236637,2,NA,NA,0.036000000000000004,10190007014387,390,39004,1019,CLP,68.0994619731559,poi_center,NA,NA,NA,NA,NA,NA,40.56175898978129,-105.02106619785779
438,128075822,23001900236628,2,NA,NA,0.03,10190007013214,436,43612,1019,CLP,53.27351739866041,poi_center,NA,NA,NA,NA,NA,NA,40.653982254895936,-105.19173246382717
439,120819384,23001900233298,2,00178025,Pinewood Lake,0.369,10190006000842,390,39009,1019,NW,143.55497732786554,poi_center,NA,NA,NA,NA,NA,NA,40.36239578465693,-105.28450866746667
440,120819364,23001900256755,2,00177903,Marys Lake,0.151,10190006000859,390,39004,1019,NW,142.78328650932852,poi_center,NA,NA,NA,NA,NA,NA,40.344421778571494,-105.53224802800608
441,120819373,23001900251557,2,00178052,Flatiron Reservoir,0.167,10190006000843,390,39009,1019,NW,139.89371295663483,poi_center,NA,NA,NA,NA,NA,NA,40.37139208738741,-105.2301695930093
442,128058372,23001900240530,2,00178708,Boulder Reservoir,2.1710000000000003,10190005001168,390,39009,1019,NW,605.2825273018692,poi_center,NA,NA,NA,NA,NA,NA,40.07986758472062,-105.21992396190043
443,120819176,23001900236690,2,00202477,Lake Estes,0.561,10190006000816,390,39009,1019,NW,216.0654516130913,poi_center,NA,NA,NA,NA,NA,NA,40.37598171736841,-105.49067536960045
444,120819486,23001900245424,2,00178047,Carter Lake Reservoir,4.533,10190006000870,390,39009,1019,NW,673.7048900903553,poi_center,NA,NA,NA,NA,NA,NA,40.343941967152446,-105.21656033720026
